link,address,price,beds,bath,date_added,available_date,deposit,furnish_type,property_type,station_1,station_1_dist,station_2,station_2_dist,station_3,station_3_dist
https://www.rightmove.co.uk/properties/149461964#/?channel=RES_LET,"Minerva Square, Glasgow, G3","£1,835 pcm",3,2,24/05/2024,Ask agent,Ask agent,Furnished,Apartment,Exhibition Centre Station,0.0 miles,Anderston Station,0.5 miles,Charing Cross (Glasgow) Station,0.5 miles
https://www.rightmove.co.uk/properties/27138613#/?channel=RES_LET,"Gibson Street,Glasgow,G40",£750 pcm,1,1,24/05/2024,25/06/2024,Ask agent,Furnished,Apartment,High Street (Glasgow) Station,0.4 miles,Bellgrove Station,0.5 miles,Bridgeton Station,0.6 miles
https://www.rightmove.co.uk/properties/86775003#/?channel=RES_LET,"Keystone Quad, Milngavie, East Dunbartonshire, G62","£1,800 pcm",4,1,24/05/2024,Now,"£2,700",Unfurnished,Bungalow,Milngavie Station,0.4 miles,Hillfoot Station,1.1 miles,Bearsden Station,1.4 miles
https://www.rightmove.co.uk/properties/148391084#/?channel=RES_LET,"Bothwell Street, The Pinnacle, Glasgow, G2","£1,250 pcm",2,2,24/05/2024,Now,"£1,725",Unfurnished,Flat,Anderston Station,0.3 miles,Glasgow Central Station,0.4 miles,Charing Cross (Glasgow) Station,0.4 miles
https://www.rightmove.co.uk/properties/113242226#/?channel=RES_LET,"Barrie Avenue, Bothwell, Glasgow, G71","£3,500 pcm",5,4,24/05/2024,Now,"£5,250",Unfurnished,Detached,Blantyre Station,0.4 miles,Uddingston Station,1.6 miles,Hamilton West Station,1.8 miles
https://www.rightmove.co.uk/properties/148387082#/?channel=RES_LET,"Novar Drive, Glasgow, G12","£1,250 pcm",2,2,24/05/2024,Now,"£1,800",Furnished,,Hyndland Station,0.3 miles,Hillhead Station,0.6 miles,Partick Station,0.6 miles
https://www.rightmove.co.uk/properties/147312590#/?channel=RES_LET,"Southbrae Drive , Jordanhill, Glasgow, G13 1TT","£1,450 pcm",3,1,24/05/2024,Now,"£2,900",Unfurnished,Semi-Detached,Scotstounhill Station,0.3 miles,Jordanhill Station,0.7 miles,Garscadden Station,0.9 miles
https://www.rightmove.co.uk/properties/148383029#/?channel=RES_LET,"Kelvindale Court, Glasgow, G12","£1,350 pcm",2,2,24/05/2024,Now,£500,Furnished,Flat,Kelvindale Station,0.4 miles,Maryhill Station,0.5 miles,Summerston Station,0.6 miles
https://www.rightmove.co.uk/properties/148380551#/?channel=RES_LET,"Pembroke Street, Glasgow, Glasgow City, G3","£1,150 pcm",2,1,24/05/2024,Now,"£1,725",Unfurnished,Flat,Charing Cross (Glasgow) Station,0.2 miles,Anderston Station,0.3 miles,Exhibition Centre Station,0.3 miles
https://www.rightmove.co.uk/properties/148369940#/?channel=RES_LET,"Central Court, Central Avenue, Cambuslang, South Lanarkshire, G72 8FA","£1,250 pcm",2,2,24/05/2024,24/06/2024,"£2,500",Unfurnished,Apartment,Cambuslang Station,0.2 miles,Kirkhill Station,0.6 miles,Burnside Station,1.0 miles
https://www.rightmove.co.uk/properties/148368269#/?channel=RES_LET,"Kent Road, Glasgow, Glasgow City, G3","£1,495 pcm",2,2,24/05/2024,28/06/2024,"£2,242",Unfurnished,Flat,Exhibition Centre Station,0.2 miles,Charing Cross (Glasgow) Station,0.3 miles,Anderston Station,0.4 miles
https://www.rightmove.co.uk/properties/148359068#/?channel=RES_LET,"Clyde Street, Glasgow, G1","£2,500 pcm",3,2,24/05/2024,Now,"£2,500",Furnished,Penthouse,Argyle Street Station,0.1 miles,St. Enoch Station,0.2 miles,Bridge Street Station,0.3 miles
https://www.rightmove.co.uk/properties/148357679#/?channel=RES_LET,"Clarence Drive, Glasgow, G12",£850 pcm,1,1,23/05/2024,Now,£300,Ask agent,Flat,Hyndland Station,0.2 miles,Partick Station,0.5 miles,Partick Station,0.5 miles
https://www.rightmove.co.uk/properties/148357682#/?channel=RES_LET,"James Street, Bridgeton, Glasgow, G40",£845 pcm,2,1,23/05/2024,Now,£300,Furnished,Flat,Bridgeton Station,0.1 miles,Dalmarnock Station,0.6 miles,Bellgrove Station,0.6 miles
https://www.rightmove.co.uk/properties/148347512#/?channel=RES_LET,"145 Albion Street, MERCHANT CITY, G1 1QS","£1,400 pcm",2,1,23/05/2024,Now,"£1,500",Furnished,Apartment,High Street (Glasgow) Station,0.2 miles,Glasgow Queen Street Station,0.3 miles,Argyle Street Station,0.3 miles
https://www.rightmove.co.uk/properties/131699423#/?channel=RES_LET,"Deanston Drive, Glasgow, G41",£850 pcm,1,1,23/05/2024,01/07/2024,£950,Furnished,Flat,Crossmyloof Station,0.3 miles,Pollokshields West Station,0.5 miles,Pollokshaws East Station,0.5 miles
https://www.rightmove.co.uk/properties/38140286#/?channel=RES_LET,"48 Benalder Street flat 1/1, Glasgow,G11",£950 pcm,2,1,23/05/2024,Now,"£1,050",Unfurnished,Flat,Kelvinhall Station,0.2 miles,Partick Station,0.4 miles,Partick Station,0.4 miles
https://www.rightmove.co.uk/properties/148343180#/?channel=RES_LET,"Dalmarnock Drive, Bridgeton","£1,200 pcm",2,2,23/05/2024,Now,"£2,000",Furnished,Flat,Bridgeton Station,0.1 miles,Dalmarnock Station,0.5 miles,Bellgrove Station,0.6 miles
https://www.rightmove.co.uk/properties/148342895#/?channel=RES_LET,"Flat 0/4, 19 Carmyle Avenue, Glasgow, G32 8HL",£750 pcm,2,1,23/05/2024,Now,"£1,125",Unfurnished,Flat,Carmyle Station,0.4 miles,Mount Vernon Station,0.9 miles,Shettleston Station,1.0 miles
https://www.rightmove.co.uk/properties/148329842#/?channel=RES_LET,"Grovepark Street, Glasgow, G20","£1,295 pcm",2,1,23/05/2024,Now,"£1,943",Furnished,Flat,St. George's Cross Station,0.3 miles,Kelvinbridge Station,0.5 miles,Cowcaddens Station,0.6 miles
https://www.rightmove.co.uk/properties/148334099#/?channel=RES_LET,"17, Church Street, Glasgow, G11 5JP",£895 pcm,,1,23/05/2024,28/06/2024,£895,Unfurnished,Studio,Kelvinhall Station,0.1 miles,Hillhead Station,0.4 miles,Partick Station,0.5 miles
https://www.rightmove.co.uk/properties/146694125#/?channel=RES_LET,"Berkeley Street, Finnieston, Glasgow, G3","£1,050 pcm",,1,23/05/2024,Now,"£1,575",Furnished,Studio,Exhibition Centre Station,0.2 miles,Charing Cross (Glasgow) Station,0.4 miles,Anderston Station,0.5 miles
https://www.rightmove.co.uk/properties/148328546#/?channel=RES_LET,"Craigmont Drive, Glasgow, G20 9BP",£750 pcm,1,1,23/05/2024,Now,Ask agent,Furnished,Flat,Gilsochill Station,0.6 miles,Summerston Station,0.7 miles,Maryhill Station,0.8 miles
https://www.rightmove.co.uk/properties/15198978#/?channel=RES_LET,"Roslea Drive,Glasgow,G31","£1,200 pcm",2,,23/05/2024,Ask agent,Ask agent,Part furnished,Flat,Duke Street Station,0.1 miles,Alexandra Parade Station,0.4 miles,Bellgrove Station,0.4 miles
https://www.rightmove.co.uk/properties/148327415#/?channel=RES_LET,"Hanover Court, Townhead, Glasgow, G1","£1,400 pcm",2,1,23/05/2024,07/07/2024,"£1,950",Furnished,Flat,Glasgow Queen Street Station,0.2 miles,Buchanan Street Station,0.3 miles,High Street (Glasgow) Station,0.4 miles
https://www.rightmove.co.uk/properties/148325765#/?channel=RES_LET,"John Street, The Italian Centre, MERCHANT CITY","£2,100 pcm",3,1,23/05/2024,Now,"£3,000",Furnished,Apartment,Glasgow Queen Street Station,0.2 miles,Argyle Street Station,0.3 miles,St. Enoch Station,0.3 miles
https://www.rightmove.co.uk/properties/148323683#/?channel=RES_LET,"Newton Mearns, Newton Mearns, G77","£1,395 pcm",3,1,23/05/2024,Now,"£1,395",Unfurnished,Terraced,Patterton Station,1.1 miles,Whitecraigs Station,1.9 miles,Nitshill Station,2.4 miles
https://www.rightmove.co.uk/properties/148312298#/?channel=RES_LET,"Byres Road, Hillhead, Glasgow, G11","£1,100 pcm",1,1,23/05/2024,Now,"£1,300",Furnished,Flat,Kelvinhall Station,0.0 miles,Partick Station,0.4 miles,Partick Station,0.4 miles
https://www.rightmove.co.uk/properties/148310843#/?channel=RES_LET,"Oban Drive, North Kelvinside, Glasgow, G20","£1,615 pcm",2,1,23/05/2024,22/07/2024,"£1,815",Furnished,Flat,Kelvinbridge Station,0.5 miles,Hillhead Station,0.6 miles,St. George's Cross Station,0.8 miles
https://www.rightmove.co.uk/properties/148310840#/?channel=RES_LET,"Apsley Street, Partick, Glasgow, G11","£1,270 pcm",1,,23/05/2024,10/07/2024,"£1,470",Furnished,Flat,Partick Station,0.2 miles,Partick Station,0.2 miles,Kelvinhall Station,0.6 miles
https://www.rightmove.co.uk/properties/148309226#/?channel=RES_LET,"Buccleuch Street, Garnethill, Glasgow, G3","£1,000 pcm",1,1,22/05/2024,Now,£300,Furnished,Flat,Cowcaddens Station,0.1 miles,Buchanan Street Station,0.3 miles,Glasgow Queen Street Station,0.5 miles
https://www.rightmove.co.uk/properties/148299149#/?channel=RES_LET,"Wilton Street, North Kelvinside, Glasgow, G20","£2,500 pcm",3,1,22/05/2024,Now,"£3,750",Furnished,Flat,Kelvinbridge Station,0.3 miles,Hillhead Station,0.5 miles,St. George's Cross Station,0.7 miles
https://www.rightmove.co.uk/properties/148520375#/?channel=RES_LET,"Carronhall Grove, Uddingston, Glasgow, G71","£3,500 pcm",4,4,22/05/2024,Now,"£5,250",Unfurnished,Detached,Baillieston Station,0.5 miles,Mount Vernon Station,1.1 miles,Uddingston Station,1.4 miles
https://www.rightmove.co.uk/properties/148282328#/?channel=RES_LET,"Vista Park, Glasgow, G33 4QB","£1,495 pcm",3,,22/05/2024,Now,Ask agent,Now,Terraced,Garrowhill Station,0.8 miles,Shettleston Station,0.8 miles,Carntyne Station,1.4 miles
https://www.rightmove.co.uk/properties/148278254#/?channel=RES_LET,"Miller Street, Glasgow, G1","£1,700 pcm",2,2,22/05/2024,01/08/2024,"£2,000",Furnished,Flat,Argyle Street Station,0.1 miles,St. Enoch Station,0.2 miles,Glasgow Queen Street Station,0.2 miles
https://www.rightmove.co.uk/properties/147392246#/?channel=RES_LET,"Firpark Close, Parade Park, Dennistoun, Glasgow, G31","£1,195 pcm",2,2,22/05/2024,Now,"£1,729",Furnished,Flat,Bellgrove Station,0.5 miles,High Street (Glasgow) Station,0.6 miles,Alexandra Parade Station,0.7 miles
https://www.rightmove.co.uk/properties/148276568#/?channel=RES_LET,"Candleriggs Court, Glasgow, G1","£1,050 pcm",1,1,22/05/2024,Now,"£1,575",Furnished,Flat,Argyle Street Station,0.2 miles,High Street (Glasgow) Station,0.2 miles,St. Enoch Station,0.3 miles
https://www.rightmove.co.uk/properties/148274699#/?channel=RES_LET,"Lennox Court , 14 Sutherland Avenue, Bearsden, Glasgow, G61 3JW",£895 pcm,1,1,22/05/2024,Now,"£1,790",Furnished,Flat,Bearsden Station,0.9 miles,Hillfoot Station,0.9 miles,Milngavie Station,1.1 miles
https://www.rightmove.co.uk/properties/148272428#/?channel=RES_LET,"Crow Road, Anniesland, Glasgow, G13",£725 pcm,1,1,22/05/2024,Now,£925,Unfurnished,Flat,Anniesland Station,0.3 miles,Kelvindale Station,0.5 miles,Jordanhill Station,0.8 miles
https://www.rightmove.co.uk/properties/148266116#/?channel=RES_LET,"Govan Road, Glasgow","£1,600 pcm",3,1,22/05/2024,Now,"£2,400",Furnished,Flat,Cardonald Station,0.9 miles,Govan Station,0.9 miles,Partick Station,1.0 miles
https://www.rightmove.co.uk/properties/148265375#/?channel=RES_LET,"Hamilton Gardens, Botanics, Glasgow, G12","£2,500 pcm",2,3,22/05/2024,Now,"£2,700",Furnished,Flat,Kelvinbridge Station,0.4 miles,Hillhead Station,0.4 miles,St. George's Cross Station,0.8 miles
https://www.rightmove.co.uk/properties/148263050#/?channel=RES_LET,"Park Gate, Glasgow, G3","£3,950 pcm",3,3,22/05/2024,Now,"£5,925",Furnished,Flat,Kelvinbridge Station,0.3 miles,Charing Cross (Glasgow) Station,0.4 miles,St. George's Cross Station,0.4 miles
https://www.rightmove.co.uk/properties/148260257#/?channel=RES_LET,"Kelbourne Street, North Kelvinside, Glasgow, G20","£1,725 pcm",2,1,22/05/2024,19/07/2024,"£1,925",Furnished,Flat,Hillhead Station,0.6 miles,Kelvinbridge Station,0.6 miles,St. George's Cross Station,0.9 miles
https://www.rightmove.co.uk/properties/148241219#/?channel=RES_LET,"Argyle Street, City Centre, Glasgow, G2","£1,860 pcm",3,2,21/05/2024,Now,"£2,200",Furnished,Flat,Glasgow Central Station,0.2 miles,Anderston Station,0.3 miles,St. Enoch Station,0.4 miles
https://www.rightmove.co.uk/properties/147132800#/?channel=RES_LET,"Eastwoodhill Grove, Giffnock, Glasgow, East Renfrewshire, G46","£2,695 pcm",3,2,21/05/2024,Now,"£4,125",Unfurnished,Flat,Williamwood Station,1.1 miles,Giffnock Station,0.5 miles,Whitecraigs Station,1.6 miles
https://www.rightmove.co.uk/properties/24436346#/?channel=RES_LET,"Bolton Drive,Glasgow,G42",£895 pcm,1,1,21/05/2024,22/07/2024,£995,Furnished,Flat,Mount Florida Station,0.2 miles,Crosshill Station,0.5 miles,Cathcart Station,0.6 miles
https://www.rightmove.co.uk/properties/116807915#/?channel=RES_LET,"Oxford Street, Glasgow, G5",£100 pcm,,,21/05/2024,Ask agent,Ask agent,Ask agent,Parking,Bridge Street Station,0.1 miles,St. Enoch Station,0.3 miles,Glasgow Central Station,0.3 miles
https://www.rightmove.co.uk/properties/148387424#/?channel=RES_LET,"Glendevon Square, Ruchazie, Glasgow, G33",£900 pcm,3,1,21/05/2024,Now,£900,Unfurnished,Terraced,Robroyston Station,1.0 miles,Shettleston Station,1.4 miles,Carntyne Station,1.4 miles
https://www.rightmove.co.uk/properties/148224398#/?channel=RES_LET,"Mingarry Street, Flat 2/R (2/2), North Kelvinside, Glasgow, G20 8NT","£1,250 pcm",2,1,21/05/2024,30/06/2024,"£2,500",Unfurnished,Flat,Hillhead Station,0.5 miles,Kelvinbridge Station,0.5 miles,St. George's Cross Station,0.9 miles
https://www.rightmove.co.uk/properties/148223258#/?channel=RES_LET,"Templeton Court, Glasgow Green, G40","£1,000 pcm",1,1,21/05/2024,Now,"£1,100",Furnished,Flat,Bridgeton Station,0.3 miles,Bellgrove Station,0.6 miles,High Street (Glasgow) Station,0.7 miles
https://www.rightmove.co.uk/properties/148222619#/?channel=RES_LET,"Tollcross Road, Glasgow, G32","£1,200 pcm",2,1,21/05/2024,Ask agent,Ask agent,Unfurnished,Flat,Carntyne Station,0.6 miles,Shettleston Station,0.9 miles,Carmyle Station,1.2 miles
https://www.rightmove.co.uk/properties/148222472#/?channel=RES_LET,"Tollcross Road, Glasgow, G32","£1,200 pcm",2,1,21/05/2024,Ask agent,Ask agent,Unfurnished,Flat,Carntyne Station,0.6 miles,Shettleston Station,0.9 miles,Carmyle Station,1.2 miles
